                   N             lambda1             lambda2             lambda3
                   3       9.37258298172       31.9999999426        54.627416937
                   4       9.54915026015        34.549150213       65.4508496163
                   5       9.64617090598       35.9999999254       71.9999998708
                   6       9.70505092376       36.8979993393       76.1929483253
                   7       9.74341981658       37.4903319269       79.0165204981
                   8       9.76979541058       37.9008001317       80.9999998321
                   9       9.78869671878       38.1966010406       82.4429493673
                  10       9.80270036304       38.4166449695       83.5237022062
                  11       9.81336200645       38.5846836239       84.3532468355
                  12       9.82166568766       38.7158632425       85.0033669325
                  13       9.82825840236        38.820203695       85.5220586845
                  14        9.8335796474       38.9045439732       85.9423523414
                  15       9.83793641114       38.9736792663       86.2875583096
                  16       9.84154836028       39.0310513161       86.5744953555
                  17       9.84457602565       39.0791816423       86.8155381538
                  18       9.84713892078       39.1199514036       87.0199514341
                  19       9.84932750143       39.1547868751       87.1947804537
                  20       9.85121124697       39.1847852077       87.3454583138
                  21       9.85284423678       39.2108014522          87.4762283
                  22       9.85426907108       39.2335098969       87.5904428099
                  23       9.85551967488       39.2534480258       87.6907783492
                  24       9.85662333441       39.2710484999       87.7793924415
                  25       9.85760219693       39.2866627506       87.8580396907
                  26       9.85847438974       39.3005786052       87.9281586952
                  27       9.85925486489       39.3130336094       87.9909378773
                  28       9.85995604386       39.3242252061       88.0473658711
                  29       9.86058831459       39.3343185896        88.098270469
                  30       9.86116041826       39.3434528231       88.1443489992
                  31       9.86167975282       39.3517456445       88.1861922204
                  32        9.8621526133       39.3592972721       88.2243032674
                  33       9.86258438336       39.3661934411        88.259112784
                  34       9.86297968914       39.3725078436       88.2909910946
                  35       9.86334252367       39.3783041026        88.320258058
                  36       9.86367634803       39.3836373782       88.3471910953
                  37       9.86398417421       39.3885556831       88.3720317663
                  38        9.8642686332       39.3931009656       88.3949911889
                  39       9.86453203146       39.3973100057       88.4162545263
                  40       9.86477639773       39.4012151606       88.4359847217
                  41       9.86500352226       39.4048449879       88.4543256212
                  42       9.86521498965       39.4082247683       88.4714045968
                  43       9.86541220656       39.4113769471       88.4873347582
                  44       9.86559642517       39.4143215067       88.5022168266
                  45        9.8657687631       39.4170762843       88.5161407268
                  46       9.86593022037       39.4196572422       88.5291869467
                  47       9.86608169398       39.4220786995       88.5414277002
                  48       9.86622399035       39.4243535308       88.5529279272
                  49        9.8663578361       39.4264933376       88.5637461548
                  50       9.86648388736       39.4285085966       88.5739352425
                  51       9.86660273776       39.4304087877        88.583543028
                  52        9.8667149255       39.4322025061       88.5926128885
                  53       9.86682093942        39.433897559       88.6011842308
                  54       9.86692122434       39.4355010512       88.6092929195
                  55       9.86701618571       39.4370194596       88.6169716516
                  56       9.86710619377       39.4384586979        88.624250287
                  57       9.86719158709       39.4398241754       88.6311561385
                  58       9.86727267584        39.441120847       88.6377142279
                  59       9.86734974452       39.4423532584       88.6439475128
                  60       9.86742305455       39.4435255862        88.649877088
                  61        9.8674928464        39.444641673       88.6555223633
                  62       9.86755934165       39.4457050594       88.6609012227
                  63       9.86762274468       39.4467190113       88.6660301662
                  64       9.86768324429       39.4476865458       88.6709244363
                  65       9.86774101509       39.4486104532        88.675598131
                  66       9.86779621874       39.4494933173       88.6800643056
                  67       9.86784900511       39.4503375334       88.6843350638
                  68       9.86789951331       39.4511453247       88.6884216397
                  69       9.86794787257       39.4519187566       88.6923344719
                  70       9.86799420308       39.4526597503       88.6960832697
                  71       9.86803861675       39.4533700947       88.6996770739
                  72       9.86808121788       39.4540514568       88.7031243109
