                   N             lambda1             lambda2            lambda 3             CPUtime        # Iterations
                   3       9.37258300203                  32        54.627416998               0.003                   8
                   4       9.54915028125       34.5491502813       65.4508497187               0.003                   6
                   5       9.64617092752       36.0000000001       72.0000000001               0.006                  26
                   6       9.70505094556       36.8979994179       76.1929484723               0.009                  31
                   7       9.74341983857       37.4903320082       79.0165206573               0.016                  57
                   8       9.76979543272       37.9008002148       81.0000000001               0.024                  73
                   9       9.78869674101        38.196601125       82.4429495415               0.034                 100
                  10       9.80270038529       38.4166450549       83.5237023853               0.051                 130
                  11       9.81336202878       38.5846837101       84.3532470183                0.07                 166
                  12       9.82166571001       38.7158633292       85.0033671182               0.083                 180
                  13       9.82825842485       38.8202037821       85.5220588725               0.116                 223
                  14       9.83357966979       38.9045440608       85.9423525313               0.143                 253
                  15       9.83793643355       38.9736793542       86.2875585011               0.195                 314
                  16       9.84154838271       39.0310514043       86.5744955483               0.257                 337
                  17        9.8445760481       39.0791817307       86.8155383477               0.321                 402
                  18       9.84713894324       39.1199514922       87.0199516289               0.366                 446
                  19        9.8493275239       39.1547869639       87.1947806493                 0.5                 518
                  20       9.85121126945       39.1847852966       87.3454585101               0.605                 557
                  21       9.85284425927       39.2108015414       87.4762284966               0.733                 613
                  22       9.85426909362        39.233509986       87.5904430072               0.884                 663
                  23       9.85551969741        39.253448115        87.690778547               0.854                 748
                  24        9.8566233569       39.2710485892       87.7793926397               0.839                 814
                  25       9.85760221943         39.28666284       87.8580398893               1.046                 881
                  26       9.85847441225       39.3005786946       87.9281588941               1.189                 942
                  27        9.8592548874       39.3130336989       87.9909380765               1.388                1034
                  28       9.85995606637       39.3242252956       88.0473660705               1.545                1096
                  29       9.86058833716       39.3343186792       88.0982706687               1.762                1208
                  30       9.86116044079       39.3434529127       88.1443491991               1.723                1289
                  31       9.86167977536       39.3517457342       88.1861924204               1.939                1389
                  32       9.86215263583       39.3592973618       88.2243034676               2.186                1449
                  33       9.86258440605       39.3661935307       88.2591129845                2.58                1588
                  34       9.86297971197       39.3725079331       88.2909912952               2.992                1660
                  35       9.86334254624       39.3783041923       88.3202582587               3.195                1781
                  36       9.86367637057        39.383637468       88.3471912961               3.631                1859
                  37       9.86398419674       39.3885557729       88.3720319672                4.08                2020
