                rhoN                  l1                  l2                  l3                  l4
                   1            9.927335            36.31961            72.32407            108.3193
            1.090909            8.439457            30.63044            60.88567            91.12987
            1.181818            7.297487            26.22176            52.00293            77.77113
            1.272727            6.407225            22.74262            44.97392            67.19016
            1.363636            5.704692            19.95502             39.3226            58.67286
            1.454545            5.145149            17.69294            34.71687              51.721
            1.545455            4.696498            15.83768            30.91931            45.97843
            1.636364            4.335169            14.30261            27.75658            41.18505
            1.727273            4.043482            13.02324             25.0997            37.14732
            1.818182            3.807912            11.95081             22.8511            33.71878
            1.909091            3.617915            11.04784            20.93587            30.78692
                   2            3.465124            10.28514            19.29571            28.26415
            2.090909             3.34279            9.639673            17.88472            26.08141
            2.181818            3.245386             9.09301             16.6663            24.18365
            2.272727             3.16833            8.630215            15.61101            22.52651
            2.363636            3.107788            8.239016            14.69492            21.07395
            2.454545            3.060531            7.909178            13.89839            19.79645
            2.545455            3.023839            7.632028            13.20516            18.66968
            2.636364            2.995428            7.400094            12.60159            17.67358
            2.727273            2.973397            7.206832            12.07618            16.79161
            2.818182            2.956187            7.046433            11.61904            16.01021
            2.909091            2.942537            6.913678             11.2216            15.31845
                   3             2.93145             6.80386            10.87628            14.70762
            3.090909            2.922153            6.712732            10.57627            14.17099
            3.181818            2.914064             6.63649            10.31539            13.70344
            3.272727            2.906751            6.571776            10.08801            13.30114
            3.363636            2.899903            6.515686            9.889044             12.9612
            3.454545              2.8933            6.465767            9.714079            12.68119
            3.545455            2.886791            6.420015            9.559521            12.45876
            3.636364            2.880273            6.376853            9.422743            12.29133
            3.727273            2.873675            6.335102            9.302143            12.17582
            3.818182            2.866952            6.293947            9.197048            12.10869
            3.909091            2.860073              6.2529            9.107484            12.08602
                   4            2.853018            6.211769            9.033875            12.10379
            4.090909            2.845775            6.170621             8.97676            12.15808
            4.181818            2.838337            6.129744            8.936572            12.24524
            4.272727              2.8307            6.089601            8.913524            12.36202
            4.363636            2.822868             6.05078             8.90756            12.50554
            4.454545            2.814848            6.013945            8.918382            12.67338
            4.545455             2.80665            5.979778            8.945492            12.86344
            4.636364            2.798294            5.948945            8.988254            13.07396
            4.727273            2.789806            5.922056            9.045951            13.30343
            4.818182            2.781217            5.899643            9.117833             13.5506
            4.909091            2.772568            5.882153            9.203151            13.81438
                   5            2.763908            5.869938            9.301182            14.09384
            5.090909             2.75529            5.863264            9.411241            14.38819
            5.181818            2.746778            5.862312            9.532693            14.69673
            5.272727            2.738438            5.867192            9.664955            15.01885
            5.363636            2.730341             5.87795            9.807491            15.35404
            5.454545            2.722563            5.894581            9.959816            15.70181
            5.545455            2.715178            5.917035            10.12149            16.06176
            5.636364            2.708262             5.94523            10.29211            16.43351
            5.727273            2.701889            5.979058            10.47132            16.81673
            5.818182             2.69613            6.018392             10.6588            17.21113
            5.909091            2.691053            6.063092            10.85423            17.61643
                   6             2.68672            6.113009            11.05736             18.0324
            6.090909            2.683191            6.167991            11.26793             18.4588
            6.181818            2.680516            6.227883            11.48572            18.89544
            6.272727            2.678744            6.292533            11.71053            19.34214
            6.363636            2.677915            6.361791            11.94217            19.79871
            6.454545            2.678065            6.435511            12.18047            20.26502
            6.545455            2.679223            6.513554            12.42527            20.74091
            6.636364            2.681416            6.595783            12.67643            21.22625
            6.727273            2.684662            6.682072             12.9338            21.72092
            6.818182            2.688979              6.7723            13.19728            22.22481
            6.909091            2.694377             6.86635            13.46674            22.73781
                   7            2.700866            6.964115            13.74208            23.25983
            7.090909            2.708448            7.065493             14.0232            23.79078
            7.181818            2.717127            7.170386            14.31001            24.33056
            7.272727            2.726902            7.278705            14.60243            24.87911
            7.363636             2.73777            7.390365            14.90037            25.43635
            7.454545            2.749726            7.505287            15.20377            26.00221
            7.545455            2.762764            7.623395            15.51255            26.57663
            7.636364            2.776875            7.744619            15.82666            27.15954
            7.727273             2.79205            7.868895            16.14603             27.7509
            7.818182             2.80828             7.99616            16.47061            28.35064
            7.909091            2.825553            8.126356            16.80034            28.95873
                   8            2.843858             8.25943            17.13517            29.57511
            8.090909            2.863182             8.39533            17.47507            30.19973
            8.181818            2.883514            8.534008            17.81998            30.83257
            8.272727            2.904841            8.675419            18.16987            31.47357
            8.363636            2.927149            8.819522             18.5247            32.12271
            8.454545            2.950426            8.966275            18.88442            32.77994
            8.545455            2.974658            9.115643            19.24901            33.44524
            8.636364            2.999833            9.267588            19.61844            34.11857
            8.727273            3.025938            9.422079            19.99267            34.79991
            8.818182             3.05296            9.579083            20.37168            35.48922
            8.909091            3.080886            9.738571            20.75543            36.18649
                   9            3.109704            9.900514            21.14391            36.89168
            9.090909            3.139401            10.06489            21.53708            37.60477
            9.181818            3.169966            10.23166            21.93493            38.32575
            9.272727            3.201387            10.40082            22.33743            39.05458
            9.363636            3.233652            10.57234            22.74457            39.79125
            9.454545            3.266751            10.74619            23.15631            40.53574
            9.545455            3.300671            10.92236            23.57265            41.28803
            9.636364            3.335403            11.10083            23.99357            42.04811
            9.727273            3.370937            11.28157            24.41905            42.81595
            9.818182            3.407261            11.46458            24.84906            43.59154
            9.909091            3.444367            11.64983            25.28361            44.37487
                  10            3.482244            11.83731            25.72267            45.16593
